"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Open menu and logout from the app","3928","Verify logout flow after checkout","Surefire suite","Wed Jul 09 16:21:56 IST 2025","passed","Wed Jul 09 16:22:00 IST 2025","tests.LogoutTest","Surefire test","tests.LogoutTest","logoutTest"
"Verify user can add 'Sauce Labs Backpack' to cart and proceed to checkout","5393","Verify adding a product to cart","Surefire suite","Wed Jul 09 16:21:38 IST 2025","passed","Wed Jul 09 16:21:44 IST 2025","tests.ProductTest","Surefire test","tests.ProductTest","productPageTest"
"Ensure user can input details and complete checkout successfully","12784","Verify checkout with valid information","Surefire suite","Wed Jul 09 16:21:44 IST 2025","passed","Wed Jul 09 16:21:56 IST 2025","tests.CheckOutTest","Surefire test","tests.CheckOutTest","checkOutTest"
"Test Description: Login into SwagLabs app using valid credentials","7215","Verify successful login with valid credentials","Surefire suite","Wed Jul 09 16:21:31 IST 2025","passed","Wed Jul 09 16:21:38 IST 2025","tests.LoginTest","Surefire test","tests.LoginTest","swaglabsLoginTest"
"","2","stopAppiumServer","Surefire suite","Wed Jul 09 16:12:16 IST 2025","broken","Wed Jul 09 16:12:16 IST 2025","tests.SwagLabsLoginTest","Surefire test","tests.SwagLabsLoginTest","stopAppiumServer"
"","21116","swaglabsLoginTest","Surefire suite","Wed Jul 09 16:11:49 IST 2025","passed","Wed Jul 09 16:12:10 IST 2025","tests.SwagLabsLoginTest","Surefire test","tests.SwagLabsLoginTest","swaglabsLoginTest"
